MhswID,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,SKS7,SKS8,P1,P2,P3,P4,P5,P6,P7,P8,AMS
103040099,2.95,2.53,2.8,3.11,3.25,3.29,3.44,2.85,14,27,41,57,89,106,124,137,0,0,0,0,85.32,89.55,87.98,67.48,1
103040100,3.25,2.53,2.8,3.05,3.4,3,3.17,2.44,17,30,47,66,95,115,128,134,0,0,74.95,0,75.56,84.33,87.26,78.05,1
103040113,3.15,2.18,2.95,3.25,3.45,3.25,3.53,2.8,20,37,54,70,93,113,128,143,0,0,80,0,84.14,96.24,94,93.45,0
103040129,3.2,2.68,3.1,2.45,2.8,2.83,3.33,2.67,14,30,50,66,86,101,122,135,0,0,95.32,0,90.25,84.3,84.86,79.99,1
103040130,2.45,2.53,2.17,3.11,3.15,3.55,2.12,2.67,14,33,48,67,93,113,127,133,0,0,80.29,0,91.76,92.61,90.88,96.67,1
103040150,2.9,3.25,2.95,2.5,2.77,3.1,3.23,3,20,33,47,57,85,105,127,133,0,0,92.28,0,85.77,89.26,90,88.6,0
103040085,3.25,2.79,2.65,3.26,2.65,3.09,3.67,3.25,17,36,53,72,98,120,135,143,0,0,78.51,0,86.5,96.83,76.43,80.28,0
103040105,3.7,3.89,4,3.73,4,4,3.83,4,20,39,59,81,101,122,134,139,0,0,99.11,0,93.41,96.04,74.77,100,0
103040157,4,3.84,3.86,3.59,3.55,3.71,3.85,4,20,39,61,83,103,124,137,139,0,0,100,0,88.15,92.37,97.14,100,0
103040161,1.8,2,2.55,2,2,2.88,2.25,1.83,13,24,35,43,49,57,70,79,0,0,54.22,0,25.82,61.88,77.43,71.97,1
103040079,3.55,3.26,2.8,3.18,3.25,3.24,3.67,3.33,20,39,50,72,101,122,137,143,0,0,0,0,91.35,94.01,92.86,100,0
103040064,3.6,3.26,2.8,2.79,3.25,3.26,3.53,3.5,20,36,50,69,98,117,135,139,0,0,96.13,0,84.3,89.59,98.57,100,0
103040083,2.95,3.05,2.95,2.79,2.4,3.1,3.47,2.8,15,34,45,64,95,115,133,143,89.15,0,0,0,93.49,96.85,97.71,90.98,0
103040132,3.6,3.58,3.1,3,3.4,3.62,3.73,3,17,33,50,69,95,113,137,139,0,0,98.07,0,93.39,96.22,92.08,92.86,0
103040141,3.4,3.74,3.36,3.36,3.7,3.86,4,3,17,36,58,80,103,124,137,139,0,0,92.34,0,88.15,87.55,87.63,98.57,0
